Epoch,Accuracy,Test_Accuracy,stat_FIM,emp_FIM,flat_FIM,y_pred_avg,y_pred_max,y_pred_min,y_pred_label
0,0.0,0.0,0,0,0,,,,
1,0.2669599950313568,0.29170000553131104,"tf.Tensor(447.9623, shape=(), dtype=float32)","tf.Tensor(636.49097, shape=(), dtype=float32)","tf.Tensor(711.9714, shape=(), dtype=float32)","tf.Tensor(0.30911773, shape=(), dtype=float32)","tf.Tensor(0.30911773, shape=(), dtype=float32)","tf.Tensor(0.008597704, shape=(), dtype=float32)","tf.Tensor(0.09813589, shape=(), dtype=float32)"
2,0.41714000701904297,0.44110000133514404,"tf.Tensor(536.7275, shape=(), dtype=float32)","tf.Tensor(549.33905, shape=(), dtype=float32)","tf.Tensor(1270.5597, shape=(), dtype=float32)","tf.Tensor(0.45903176, shape=(), dtype=float32)","tf.Tensor(0.45903176, shape=(), dtype=float32)","tf.Tensor(0.005525714, shape=(), dtype=float32)","tf.Tensor(0.10114815, shape=(), dtype=float32)"
3,0.47832000255584717,0.4542999863624573,"tf.Tensor(572.87213, shape=(), dtype=float32)","tf.Tensor(649.3644, shape=(), dtype=float32)","tf.Tensor(1448.2194, shape=(), dtype=float32)","tf.Tensor(0.47387996, shape=(), dtype=float32)","tf.Tensor(0.47387996, shape=(), dtype=float32)","tf.Tensor(0.0034861146, shape=(), dtype=float32)","tf.Tensor(0.10060005, shape=(), dtype=float32)"
4,0.5142999887466431,0.519599974155426,"tf.Tensor(672.637, shape=(), dtype=float32)","tf.Tensor(683.3053, shape=(), dtype=float32)","tf.Tensor(1760.2036, shape=(), dtype=float32)","tf.Tensor(0.53372055, shape=(), dtype=float32)","tf.Tensor(0.53372055, shape=(), dtype=float32)","tf.Tensor(0.0027756195, shape=(), dtype=float32)","tf.Tensor(0.10124797, shape=(), dtype=float32)"
5,0.5487800240516663,0.5098999738693237,"tf.Tensor(756.77826, shape=(), dtype=float32)","tf.Tensor(849.18274, shape=(), dtype=float32)","tf.Tensor(2060.0244, shape=(), dtype=float32)","tf.Tensor(0.53671443, shape=(), dtype=float32)","tf.Tensor(0.53671443, shape=(), dtype=float32)","tf.Tensor(0.0017683695, shape=(), dtype=float32)","tf.Tensor(0.099413656, shape=(), dtype=float32)"
6,0.5792800188064575,0.5570999979972839,"tf.Tensor(715.4217, shape=(), dtype=float32)","tf.Tensor(738.9127, shape=(), dtype=float32)","tf.Tensor(2075.4158, shape=(), dtype=float32)","tf.Tensor(0.5637242, shape=(), dtype=float32)","tf.Tensor(0.5637242, shape=(), dtype=float32)","tf.Tensor(0.0019893078, shape=(), dtype=float32)","tf.Tensor(0.099812984, shape=(), dtype=float32)"
7,0.603600025177002,0.5530999898910522,"tf.Tensor(715.8894, shape=(), dtype=float32)","tf.Tensor(804.62115, shape=(), dtype=float32)","tf.Tensor(2353.8618, shape=(), dtype=float32)","tf.Tensor(0.5991019, shape=(), dtype=float32)","tf.Tensor(0.5991019, shape=(), dtype=float32)","tf.Tensor(0.0020060502, shape=(), dtype=float32)","tf.Tensor(0.10036875, shape=(), dtype=float32)"
8,0.6222800016403198,0.5877000093460083,"tf.Tensor(797.79376, shape=(), dtype=float32)","tf.Tensor(873.88727, shape=(), dtype=float32)","tf.Tensor(2689.9272, shape=(), dtype=float32)","tf.Tensor(0.6084485, shape=(), dtype=float32)","tf.Tensor(0.6084485, shape=(), dtype=float32)","tf.Tensor(0.0009095572, shape=(), dtype=float32)","tf.Tensor(0.099531434, shape=(), dtype=float32)"
9,0.6412799954414368,0.5764999985694885,"tf.Tensor(827.49677, shape=(), dtype=float32)","tf.Tensor(852.23535, shape=(), dtype=float32)","tf.Tensor(2866.9246, shape=(), dtype=float32)","tf.Tensor(0.62318784, shape=(), dtype=float32)","tf.Tensor(0.62318784, shape=(), dtype=float32)","tf.Tensor(0.0014878582, shape=(), dtype=float32)","tf.Tensor(0.10061138, shape=(), dtype=float32)"
10,0.6570000052452087,0.6193000078201294,"tf.Tensor(939.6795, shape=(), dtype=float32)","tf.Tensor(863.5225, shape=(), dtype=float32)","tf.Tensor(3171.2378, shape=(), dtype=float32)","tf.Tensor(0.6465004, shape=(), dtype=float32)","tf.Tensor(0.6465004, shape=(), dtype=float32)","tf.Tensor(0.0012040773, shape=(), dtype=float32)","tf.Tensor(0.10120392, shape=(), dtype=float32)"
11,0.6686199903488159,0.6488999724388123,"tf.Tensor(891.6892, shape=(), dtype=float32)","tf.Tensor(843.893, shape=(), dtype=float32)","tf.Tensor(3456.933, shape=(), dtype=float32)","tf.Tensor(0.65802795, shape=(), dtype=float32)","tf.Tensor(0.65802795, shape=(), dtype=float32)","tf.Tensor(0.0008254826, shape=(), dtype=float32)","tf.Tensor(0.09994167, shape=(), dtype=float32)"
12,0.6861799955368042,0.6251999735832214,"tf.Tensor(844.75555, shape=(), dtype=float32)","tf.Tensor(870.919, shape=(), dtype=float32)","tf.Tensor(3274.844, shape=(), dtype=float32)","tf.Tensor(0.656093, shape=(), dtype=float32)","tf.Tensor(0.656093, shape=(), dtype=float32)","tf.Tensor(0.0007858323, shape=(), dtype=float32)","tf.Tensor(0.099448115, shape=(), dtype=float32)"
13,0.6969000101089478,0.6538000106811523,"tf.Tensor(955.34, shape=(), dtype=float32)","tf.Tensor(911.58954, shape=(), dtype=float32)","tf.Tensor(4133.351, shape=(), dtype=float32)","tf.Tensor(0.6946471, shape=(), dtype=float32)","tf.Tensor(0.6946471, shape=(), dtype=float32)","tf.Tensor(0.00061740505, shape=(), dtype=float32)","tf.Tensor(0.100528196, shape=(), dtype=float32)"
14,0.7067000269889832,0.6521999835968018,"tf.Tensor(937.48773, shape=(), dtype=float32)","tf.Tensor(909.11316, shape=(), dtype=float32)","tf.Tensor(4023.2246, shape=(), dtype=float32)","tf.Tensor(0.6842827, shape=(), dtype=float32)","tf.Tensor(0.6842827, shape=(), dtype=float32)","tf.Tensor(0.00080699555, shape=(), dtype=float32)","tf.Tensor(0.10022047, shape=(), dtype=float32)"
15,0.7192400097846985,0.6759999990463257,"tf.Tensor(914.8555, shape=(), dtype=float32)","tf.Tensor(906.0922, shape=(), dtype=float32)","tf.Tensor(4160.952, shape=(), dtype=float32)","tf.Tensor(0.704631, shape=(), dtype=float32)","tf.Tensor(0.704631, shape=(), dtype=float32)","tf.Tensor(0.0005597929, shape=(), dtype=float32)","tf.Tensor(0.10024606, shape=(), dtype=float32)"
16,0.7299799919128418,0.6712999939918518,"tf.Tensor(960.9858, shape=(), dtype=float32)","tf.Tensor(941.20123, shape=(), dtype=float32)","tf.Tensor(4406.959, shape=(), dtype=float32)","tf.Tensor(0.7099358, shape=(), dtype=float32)","tf.Tensor(0.7099358, shape=(), dtype=float32)","tf.Tensor(0.00043559397, shape=(), dtype=float32)","tf.Tensor(0.100231126, shape=(), dtype=float32)"
17,0.7379000186920166,0.6833999752998352,"tf.Tensor(989.61816, shape=(), dtype=float32)","tf.Tensor(949.64557, shape=(), dtype=float32)","tf.Tensor(4953.1167, shape=(), dtype=float32)","tf.Tensor(0.7253715, shape=(), dtype=float32)","tf.Tensor(0.7253715, shape=(), dtype=float32)","tf.Tensor(0.00034198826, shape=(), dtype=float32)","tf.Tensor(0.099960126, shape=(), dtype=float32)"
18,0.7467600107192993,0.6972000002861023,"tf.Tensor(1005.5482, shape=(), dtype=float32)","tf.Tensor(932.57654, shape=(), dtype=float32)","tf.Tensor(5894.915, shape=(), dtype=float32)","tf.Tensor(0.7492642, shape=(), dtype=float32)","tf.Tensor(0.7492642, shape=(), dtype=float32)","tf.Tensor(0.0003599006, shape=(), dtype=float32)","tf.Tensor(0.10056467, shape=(), dtype=float32)"
19,0.755299985408783,0.6805999875068665,"tf.Tensor(1061.5768, shape=(), dtype=float32)","tf.Tensor(995.94794, shape=(), dtype=float32)","tf.Tensor(5504.683, shape=(), dtype=float32)","tf.Tensor(0.73531985, shape=(), dtype=float32)","tf.Tensor(0.73531985, shape=(), dtype=float32)","tf.Tensor(0.000355832, shape=(), dtype=float32)","tf.Tensor(0.10024456, shape=(), dtype=float32)"
20,0.7627999782562256,0.6880999803543091,"tf.Tensor(925.86725, shape=(), dtype=float32)","tf.Tensor(962.97284, shape=(), dtype=float32)","tf.Tensor(5937.2725, shape=(), dtype=float32)","tf.Tensor(0.75312644, shape=(), dtype=float32)","tf.Tensor(0.75312644, shape=(), dtype=float32)","tf.Tensor(0.00038227046, shape=(), dtype=float32)","tf.Tensor(0.10070415, shape=(), dtype=float32)"
21,0.7710800170898438,0.6675000190734863,"tf.Tensor(1093.3989, shape=(), dtype=float32)","tf.Tensor(1134.4132, shape=(), dtype=float32)","tf.Tensor(6119.799, shape=(), dtype=float32)","tf.Tensor(0.7438777, shape=(), dtype=float32)","tf.Tensor(0.7438777, shape=(), dtype=float32)","tf.Tensor(0.00029470862, shape=(), dtype=float32)","tf.Tensor(0.10007917, shape=(), dtype=float32)"
22,0.7793400287628174,0.680899977684021,"tf.Tensor(1142.6271, shape=(), dtype=float32)","tf.Tensor(1196.5764, shape=(), dtype=float32)","tf.Tensor(7449.3267, shape=(), dtype=float32)","tf.Tensor(0.77053183, shape=(), dtype=float32)","tf.Tensor(0.77053183, shape=(), dtype=float32)","tf.Tensor(0.00033230992, shape=(), dtype=float32)","tf.Tensor(0.10111155, shape=(), dtype=float32)"
23,0.7887399792671204,0.7041000127792358,"tf.Tensor(1162.2529, shape=(), dtype=float32)","tf.Tensor(985.30096, shape=(), dtype=float32)","tf.Tensor(7260.4697, shape=(), dtype=float32)","tf.Tensor(0.77926576, shape=(), dtype=float32)","tf.Tensor(0.77926576, shape=(), dtype=float32)","tf.Tensor(0.00021299711, shape=(), dtype=float32)","tf.Tensor(0.10069839, shape=(), dtype=float32)"
24,0.7954999804496765,0.6953999996185303,"tf.Tensor(1233.1896, shape=(), dtype=float32)","tf.Tensor(1086.1924, shape=(), dtype=float32)","tf.Tensor(8254.48, shape=(), dtype=float32)","tf.Tensor(0.7896941, shape=(), dtype=float32)","tf.Tensor(0.7896941, shape=(), dtype=float32)","tf.Tensor(0.00013246413, shape=(), dtype=float32)","tf.Tensor(0.100445434, shape=(), dtype=float32)"
25,0.803380012512207,0.6917999982833862,"tf.Tensor(1193.6958, shape=(), dtype=float32)","tf.Tensor(1117.6077, shape=(), dtype=float32)","tf.Tensor(8323.727, shape=(), dtype=float32)","tf.Tensor(0.795183, shape=(), dtype=float32)","tf.Tensor(0.795183, shape=(), dtype=float32)","tf.Tensor(0.00013883604, shape=(), dtype=float32)","tf.Tensor(0.10050135, shape=(), dtype=float32)"
26,0.8083800077438354,0.7037000060081482,"tf.Tensor(1113.2445, shape=(), dtype=float32)","tf.Tensor(1011.34076, shape=(), dtype=float32)","tf.Tensor(8449.224, shape=(), dtype=float32)","tf.Tensor(0.800317, shape=(), dtype=float32)","tf.Tensor(0.800317, shape=(), dtype=float32)","tf.Tensor(0.0001579521, shape=(), dtype=float32)","tf.Tensor(0.100460336, shape=(), dtype=float32)"
27,0.8187999725341797,0.6880000233650208,"tf.Tensor(1246.8262, shape=(), dtype=float32)","tf.Tensor(1180.588, shape=(), dtype=float32)","tf.Tensor(9150.369, shape=(), dtype=float32)","tf.Tensor(0.7994612, shape=(), dtype=float32)","tf.Tensor(0.7994612, shape=(), dtype=float32)","tf.Tensor(0.000119581375, shape=(), dtype=float32)","tf.Tensor(0.099399224, shape=(), dtype=float32)"
28,0.8216000199317932,0.6894999742507935,"tf.Tensor(1310.2823, shape=(), dtype=float32)","tf.Tensor(1197.3615, shape=(), dtype=float32)","tf.Tensor(9714.27, shape=(), dtype=float32)","tf.Tensor(0.7975804, shape=(), dtype=float32)","tf.Tensor(0.7975804, shape=(), dtype=float32)","tf.Tensor(0.00013075053, shape=(), dtype=float32)","tf.Tensor(0.10032953, shape=(), dtype=float32)"
29,0.82778000831604,0.6881999969482422,"tf.Tensor(1313.5953, shape=(), dtype=float32)","tf.Tensor(1249.0588, shape=(), dtype=float32)","tf.Tensor(10340.038, shape=(), dtype=float32)","tf.Tensor(0.8191212, shape=(), dtype=float32)","tf.Tensor(0.8191212, shape=(), dtype=float32)","tf.Tensor(8.7309556e-05, shape=(), dtype=float32)","tf.Tensor(0.09979716, shape=(), dtype=float32)"
30,0.8358399868011475,0.7006999850273132,"tf.Tensor(1331.6373, shape=(), dtype=float32)","tf.Tensor(1233.5437, shape=(), dtype=float32)","tf.Tensor(11421.752, shape=(), dtype=float32)","tf.Tensor(0.8325313, shape=(), dtype=float32)","tf.Tensor(0.8325313, shape=(), dtype=float32)","tf.Tensor(0.00010437719, shape=(), dtype=float32)","tf.Tensor(0.100494154, shape=(), dtype=float32)"
31,0.8411999940872192,0.6660000085830688,"tf.Tensor(1593.5739, shape=(), dtype=float32)","tf.Tensor(1967.1128, shape=(), dtype=float32)","tf.Tensor(12285.718, shape=(), dtype=float32)","tf.Tensor(0.8174619, shape=(), dtype=float32)","tf.Tensor(0.8174619, shape=(), dtype=float32)","tf.Tensor(6.0754744e-05, shape=(), dtype=float32)","tf.Tensor(0.10051941, shape=(), dtype=float32)"
32,0.847320020198822,0.6990000009536743,"tf.Tensor(1487.9791, shape=(), dtype=float32)","tf.Tensor(1271.6272, shape=(), dtype=float32)","tf.Tensor(13080.771, shape=(), dtype=float32)","tf.Tensor(0.83357275, shape=(), dtype=float32)","tf.Tensor(0.83357275, shape=(), dtype=float32)","tf.Tensor(5.1459258e-05, shape=(), dtype=float32)","tf.Tensor(0.10051044, shape=(), dtype=float32)"
33,0.8544399738311768,0.7038000226020813,"tf.Tensor(1432.5447, shape=(), dtype=float32)","tf.Tensor(1116.8547, shape=(), dtype=float32)","tf.Tensor(13711.263, shape=(), dtype=float32)","tf.Tensor(0.84853834, shape=(), dtype=float32)","tf.Tensor(0.84853834, shape=(), dtype=float32)","tf.Tensor(6.0523915e-05, shape=(), dtype=float32)","tf.Tensor(0.099974334, shape=(), dtype=float32)"
34,0.8622999787330627,0.6579999923706055,"tf.Tensor(1672.2673, shape=(), dtype=float32)","tf.Tensor(2027.2723, shape=(), dtype=float32)","tf.Tensor(14510.543, shape=(), dtype=float32)","tf.Tensor(0.8371356, shape=(), dtype=float32)","tf.Tensor(0.8371356, shape=(), dtype=float32)","tf.Tensor(3.2205946e-05, shape=(), dtype=float32)","tf.Tensor(0.10064044, shape=(), dtype=float32)"
35,0.8666999936103821,0.6965000033378601,"tf.Tensor(1492.3615, shape=(), dtype=float32)","tf.Tensor(1162.609, shape=(), dtype=float32)","tf.Tensor(15166.961, shape=(), dtype=float32)","tf.Tensor(0.8530273, shape=(), dtype=float32)","tf.Tensor(0.8530273, shape=(), dtype=float32)","tf.Tensor(4.437317e-05, shape=(), dtype=float32)","tf.Tensor(0.100348264, shape=(), dtype=float32)"
36,0.8712800145149231,0.6991000175476074,"tf.Tensor(1439.2018, shape=(), dtype=float32)","tf.Tensor(1178.9021, shape=(), dtype=float32)","tf.Tensor(15796.169, shape=(), dtype=float32)","tf.Tensor(0.8575713, shape=(), dtype=float32)","tf.Tensor(0.8575713, shape=(), dtype=float32)","tf.Tensor(4.2498887e-05, shape=(), dtype=float32)","tf.Tensor(0.10041888, shape=(), dtype=float32)"
37,0.8750399947166443,0.703499972820282,"tf.Tensor(1544.7614, shape=(), dtype=float32)","tf.Tensor(1279.632, shape=(), dtype=float32)","tf.Tensor(17589.613, shape=(), dtype=float32)","tf.Tensor(0.866147, shape=(), dtype=float32)","tf.Tensor(0.866147, shape=(), dtype=float32)","tf.Tensor(3.254817e-05, shape=(), dtype=float32)","tf.Tensor(0.100868374, shape=(), dtype=float32)"
38,0.8838199973106384,0.6779000163078308,"tf.Tensor(1802.0878, shape=(), dtype=float32)","tf.Tensor(2144.1218, shape=(), dtype=float32)","tf.Tensor(19384.502, shape=(), dtype=float32)","tf.Tensor(0.862907, shape=(), dtype=float32)","tf.Tensor(0.862907, shape=(), dtype=float32)","tf.Tensor(2.08597e-05, shape=(), dtype=float32)","tf.Tensor(0.100576244, shape=(), dtype=float32)"
